feature_1,feature_2,corr
num_mean_of_means,num_mean_of_vars,0.9982863353284064
logreg_acc,linsvc_acc,0.997629535823294
knn5_bac,knn5_f1m,0.9957922064523566
linsvc_bac,linsvc_f1m,0.9936776581303403
logreg_bac,logreg_f1m,0.9932759344682605
logreg_bac,linsvc_bac,0.9868275319203197
logreg_f1m,linsvc_f1m,0.9866036310132438
logreg_bal_bac,logreg_bal_acc,0.9854331267098468
logreg_bac,linsvc_f1m,0.9848665105268251
logreg_bac,logreg_bal_f1m,0.9816537986465097
logreg_f1m,logreg_bal_f1m,0.9796556772323962
logreg_f1m,linsvc_bac,0.9765669537768632
linsvc_f1m,logreg_bal_f1m,0.971109992104617
linsvc_bac,logreg_bal_f1m,0.9685983027143088
elapsed_sec,avg_cat_cardinality,0.967037395566064
logreg_acc,logreg_bal_acc,0.9560625962566927
linsvc_acc,logreg_bal_acc,0.9554792740286902
logreg_acc,logreg_bal_bac,0.9439321199396509
linsvc_acc,logreg_bal_bac,0.9421016504375008
logreg_f1m,logreg_bal_bac,0.9327854459487783
logreg_bal_bac,logreg_bal_f1m,0.9257263830549803
logreg_f1m,logreg_bal_acc,0.915677205794644
num_mean_skew,num_mean_kurt,0.9092611068248841
logreg_acc,knn5_acc,0.9074975979144037
logreg_bal_f1m,logreg_bal_acc,0.9074197333719684
logreg_bac,logreg_bal_bac,0.9059100287641366
linsvc_f1m,logreg_bal_bac,0.9024333054779328
linsvc_acc,knn5_acc,0.9004601760039185
