did,name,target,best_algo,elapsed_sec,n_samples,n_features,n_classes,n_categorical,n_numeric,ratio_samples_per_feature,missing_ratio_overall,missing_col_max,missing_col_min,frac_cols_with_na,num_mean_of_means,num_mean_of_vars,num_mean_skew,num_mean_kurt,class_entropy,majority_class_ratio,avg_cat_cardinality,ratio_num_cat,unique_rows_ratio,logreg_bac,logreg_f1m,logreg_acc,linsvc_bac,linsvc_f1m,linsvc_acc,knn5_bac,knn5_f1m,knn5_acc,logreg_bal_bac,logreg_bal_f1m,logreg_bal_acc
3,kr-vs-kp,class,linsvc,12.295,3196,36,2,"['bkblk', 'bknwy', 'bkon8', 'bkona', 'bkspr', 'bkxbq', 'bkxcr', 'bkxwp', 'blxwp', 'bxqsq', 'cntxt', 'dsopp', 'dwipd', 'hdchk', 'katri', 'mulch', 'qxmsq', 'r2ar8', 'reskd', 'reskr', 'rimmx', 'rkxwp', 'rxmsq', 'simpl', 'skach', 'skewr', 'skrxp', 'spcop', 'stlmt', 'thrsk', 'wkcti', 'wkna8', 'wknck', 'wkovl', 'wkpos', 'wtoeg']",[],88.77777777777777,0.0,0.0,0.0,0.0,,,,,0.9985755386554581,0.522215269086358,2.0277777777777777,0.0,1.0,0.9660381394334703,0.9658430135297879,0.9658973982785601,0.9710538121720192,0.9708595700303361,0.9709047339593113,0.934394211221367,0.935974228156156,0.9364832746478873,0.966149867119211,0.9658483167200714,0.9658969092331768
18,mfeat-morphological,class,linsvc,0.32,2000,6,10,[],"['att1', 'att2', 'att3', 'att4', 'att5', 'att6']",333.3333333333333,0.0,0.0,0.0,0.0,1052.6997316402774,2353407.4348732415,0.5315671843447335,-0.5362369226243187,3.321928094887362,0.1,0.0,inf,0.944,0.734,0.7304250809453642,0.734,0.7365,0.7245367273969606,0.7365,0.7085,0.7081959540412226,0.7085,0.734,0.7304250809453642,0.734
22,mfeat-zernike,class,linsvc,0.612,2000,47,10,[],"['att1', 'att2', 'att3', 'att4', 'att5', 'att6', 'att7', 'att8', 'att9', 'att10', 'att11', 'att12', 'att13', 'att14', 'att15', 'att16', 'att17', 'att18', 'att19', 'att20', 'att21', 'att22', 'att23', 'att24', 'att25', 'att26', 'att27', 'att28', 'att29', 'att30', 'att31', 'att32', 'att33', 'att34', 'att35', 'att36', 'att37', 'att38', 'att39', 'att40', 'att41', 'att42', 'att43', 'att44', 'att45', 'att46', 'att47']",42.5531914893617,0.0,0.0,0.0,0.0,88.63642941472713,2910.4386186554443,0.790830076474756,0.7353956813037774,3.321928094887362,0.1,0.0,inf,0.997,0.8160000000000001,0.8134461776331456,0.8160000000000001,0.8264999999999999,0.823147392031743,0.8265,0.8039999999999999,0.8026439103925626,0.8039999999999999,0.8160000000000001,0.8134461776331456,0.8160000000000001
23,cmc,Contraceptive_method_used,logreg_bal,0.415,1473,9,3,"['Wifes_education', 'Husbands_education', 'Wifes_religion', 'Wifes_now_working%3F', 'Husbands_occupation', 'Standard-of-living_index', 'Media_exposure']","['Wifes_age', 'Number_of_children_ever_born']",163.66666666666666,0.0,0.0,0.0,0.0,17.89986422267481,36.62515450205142,0.677731575793992,0.29285603023391094,1.5390345832497476,0.4270196877121521,3.142857142857143,0.2857142857142857,0.921928038017651,0.47676910290087243,0.4798048754598637,0.5044667358468812,0.4671435397792056,0.46991528127143817,0.49970483108497643,0.46226623816841095,0.46062536683162136,0.482691110342442,0.5207111928750838,0.5041667003935775,0.5078358122910182
24,mushroom,class,linsvc,0.995,8124,21,2,"['cap-shape', 'cap-surface', 'cap-color', 'bruises%3F', 'odor', 'gill-attachment', 'gill-spacing', 'gill-size', 'gill-color', 'stalk-shape', 'stalk-root', 'stalk-surface-above-ring', 'stalk-surface-below-ring', 'stalk-color-above-ring', 'stalk-color-below-ring', 'veil-color', 'ring-number', 'ring-type', 'spore-print-color', 'population', 'habitat']",[],386.85714285714283,0.01453658765327894,0.3052683407188577,0.0,0.047619047619047616,,,,,0.9990678968724603,0.517971442639094,5.476190476190476,0.0,1.0,0.9997445721583652,0.999753498800108,0.9997538461538461,1.0,1.0,1.0,1.0,1.0,1.0,0.9998722860791827,0.9998767550554127,0.9998769230769231
26,nursery,class,logreg_bal,1.334,12960,8,5,"['parents', 'has_nurs', 'form', 'children', 'housing', 'finance', 'social', 'health']",[],1620.0,0.0,0.0,0.0,0.0,,,,,1.7164959001837934,0.3333333333333333,3.375,0.0,1.0,0.7986076455521325,0.8147217435098497,0.9259259259259259,0.6594688097405144,0.662691293969442,0.9164351851851851,0.7848143984931661,0.7404846995942546,0.8380401234567902,0.8519229486637865,0.6861540597301403,0.912037037037037
30,page-blocks,class,logreg_bal,0.459,5473,10,5,[],"['height', 'lenght', 'area', 'eccen', 'p_black', 'p_and', 'mean_tr', 'blackpix', 'blackand', 'wb_trans']",547.3,0.0,0.0,0.0,0.0,253.32758631463548,2871748.874508413,14.711451967520436,652.8296690123777,0.6354628258660037,0.8976795176320117,0.0,inf,0.9853827882331445,0.7064778825344711,0.7657002005534862,0.9594391992854341,0.6551160373198524,0.7197223510791488,0.9552359486781364,0.7732771491528447,0.8155742426258301,0.9647368377117193,0.9023058356720652,0.6798823857702588,0.908641072516758
31,credit-g,class,logreg_bal,0.382,1000,20,2,"['checking_status', 'credit_history', 'purpose', 'savings_status', 'employment', 'personal_status', 'other_parties', 'property_magnitude', 'other_payment_plans', 'housing', 'job', 'own_telephone', 'foreign_worker']","['duration', 'credit_amount', 'installment_commitment', 'residence_since', 'age', 'existing_credits', 'num_dependents']",50.0,0.0,0.0,0.0,0.0,476.5838571428571,1138303.0316721008,0.9203791257169,0.9242775257980996,0.8812908992306927,0.7,4.153846153846154,0.5384615384615384,1.0,0.6642857142857143,0.6741050860472093,0.75,0.6614285714285714,0.6706135460682037,0.746,0.6230952380952381,0.630822024618946,0.7390000000000001,0.7166666666666667,0.6890557540660491,0.714
32,pendigits,class,knn5,1.633,10992,16,10,[],"['input1', 'input2', 'input3', 'input4', 'input5', 'input6', 'input7', 'input8', 'input9', 'input10', 'input11', 'input12', 'input13', 'input14', 'input15', 'input16']",687.0,0.0,0.0,0.0,0.0,50.711045533115,929.6726760355245,-0.03919608212031135,-0.5010429355334174,3.320771738890595,0.10407569141193596,0.0,inf,1.0,0.9511960466734035,0.9510866083801988,0.951419228113035,0.9340329592587671,0.9337565092231148,0.9343158297199364,0.9925644646706481,0.9925753492008468,0.9925400783961276,0.9518157712886524,0.9516684856252484,0.9519650962200125
36,segment,class,knn5,0.401,2310,18,7,[],"['region-centroid-col', 'region-centroid-row', 'short-line-density-5', 'short-line-density-2', 'vedge-mean', 'vegde-sd', 'hedge-mean', 'hedge-sd', 'intensity-mean', 'rawred-mean', 'rawblue-mean', 'rawgreen-mean', 'exred-mean', 'exblue-mean', 'exgreen-mean', 'value-mean', 'saturation-mean', 'hue-mean']",128.33333333333334,0.0,0.0,0.0,0.0,25.501652140027517,1250.8228334095936,3.320958854659288,38.51719076973939,2.807354922057604,0.14285714285714285,0.0,inf,0.9030303030303031,0.9346320346320347,0.9348784991115195,0.9346320346320347,0.9164502164502164,0.9163943153104108,0.9164502164502164,0.9406926406926408,0.93999655310757,0.9406926406926408,0.9346320346320347,0.9348784991115195,0.9346320346320347
